,hex10,start_time,alerts,interactions
177,8a8e62ce5a1ffff,2019-05-30 17:42:00.000,1,2
178,8a8e62ce5a47fff,2019-06-26 19:49:00.000,1,1
179,8a8e62ce5a5ffff,2019-05-14 18:43:00.000,1,3
180,8a8e62ce5a5ffff,2019-05-14 20:34:00.000,1,21
181,8a8e62ce5a77fff,2019-05-30 15:50:00.000,1,1
182,8a8e62ce5a87fff,2019-04-09 13:32:00.000,1,11
183,8a8e62ce5a8ffff,2018-10-02 17:38:00.000,1,1
184,8a8e62ce5a8ffff,2018-10-20 10:54:00.000,1,5
185,8a8e62ce5a8ffff,2018-11-06 14:49:00.000,1,2
186,8a8e62ce5a8ffff,2019-04-08 12:20:00.000,1,18
187,8a8e62ce5a8ffff,2019-05-18 10:23:00.000,1,1
188,8a8e62ce5a8ffff,2019-06-07 13:31:00.000,1,14
189,8a8e62ce5a97fff,2019-05-20 14:00:00.000,1,4
190,8a8e62ce5aa7fff,2019-03-09 03:38:00.000,1,7
191,8a8e62ce5ab7fff,2018-10-26 23:07:00.000,1,4
192,8a8e62ce5acffff,2019-02-03 03:25:00.000,1,25
193,8a8e62ce5acffff,2019-02-09 02:32:00.000,1,18
194,8a8e62ce5acffff,2019-02-09 07:23:00.000,1,10
195,8a8e62ce5acffff,2019-02-09 08:34:00.000,1,8
196,8a8e62ce5acffff,2019-02-09 09:42:00.000,1,6
197,8a8e62ce5acffff,2019-05-11 10:48:00.000,1,3
198,8a8e62ce5ad7fff,2018-11-06 14:43:00.000,1,4
199,8a8e62ce5ad7fff,2019-01-04 17:07:00.000,1,4
200,8a8e62ce5ad7fff,2019-02-09 01:14:00.000,1,16
201,8a8e62ce5ad7fff,2019-05-18 11:28:00.000,1,15
202,8a8e62ce5ad7fff,2019-05-20 01:03:00.000,1,3
203,8a8e62ce5b27fff,2019-03-21 12:26:00.000,1,1
204,8a8e62ce5b67fff,2018-10-25 05:12:00.000,1,1
205,8a8e62ce5b77fff,2018-10-25 14:26:00.000,1,4
206,8a8e62ce5b77fff,2019-03-13 20:08:00.000,1,6
207,8a8e62ce5b8ffff,2019-03-09 02:21:00.000,1,4
208,8a8e62ce5b97fff,2019-03-06 16:35:00.000,1,7
209,8a8e62ce5b9ffff,2019-01-12 15:02:00.000,1,2
210,8a8e62ce5c2ffff,2019-03-22 13:56:00.000,1,1
211,8a8e62ce5c67fff,2019-05-25 14:48:00.000,1,7
212,8a8e62ce5d0ffff,2018-10-17 09:31:00.000,1,1
213,8a8e62ce5d27fff,2019-08-25 02:06:00.000,1,3
