,uuid,latitude,longitude,interactions,street,reliability,start_time,end_time,share,cum_share,geometry,hex9,hex10,date,alerts
10,23ff1d2c-1974-362a-9f3f-288a4221c581,-12.129531,-77.02289300000001,15,Av. 28 de Julio,10,2019-02-16 04:01:00.000,2019-02-16 04:58:00.000,0.0137,0.18790100824931252,POINT (-77.02289300000001 -12.129531),898e62c566fffff,8a8e62c566e7fff,2019-02-16 12:00:00,1
11,cbcb8b19-1034-3957-a7c6-cf4b48ea547a,-12.131117,-77.034052,15,Vía Expresa Costa Verde,10,2019-05-18 11:28:00.000,2019-05-18 13:21:00.000,0.0137,0.2016498625114574,POINT (-77.034052 -12.131117),898e62ce5afffff,8a8e62ce5ad7fff,2019-05-18 12:00:00,1
12,e88dd382-ede8-3c22-abf7-bf16fb973182,-12.108257,-77.027299,15,Carlos Tenaud,10,2019-05-20 23:28:00.000,2019-05-21 00:13:00.000,0.0137,0.2153987167736022,POINT (-77.027299 -12.108257),898e62c56dbffff,8a8e62c56da7fff,2019-05-20 12:00:00,1
13,6194cafa-8596-347d-9ddc-d4d834ee834e,-12.126269,-77.0178,15,Av. Alfredo Benavides,10,2019-08-12 01:01:00.000,2019-08-12 02:29:00.000,0.0137,0.22914757103574698,POINT (-77.01779999999999 -12.126269),898e62c562bffff,8a8e62c562b7fff,2019-08-12 12:00:00,1
14,3ecde17c-4c37-351a-aea0-4e5f31a4196b,-12.122409,-77.020617,14,Av. Ricardo Palma,10,2019-01-19 23:07:00.000,2019-01-19 23:41:00.000,0.0128,0.2419798350137489,POINT (-77.020617 -12.122409),898e62c560fffff,8a8e62c560d7fff,2019-01-19 12:00:00,1
15,a6283706-a9ec-3e00-9e80-8bfb607cfa7b,-12.105527,-77.03314,14,Av. Santa Cruz,10,2019-04-11 19:17:00.000,2019-04-11 20:28:00.000,0.0128,0.2548120989917507,POINT (-77.03314 -12.105527),898e62c0babffff,8a8e62c0ba87fff,2019-04-11 12:00:00,1
16,f534403b-ab8d-35c4-bf1d-91455a1a4426,-12.130687,-77.034704,14,Vía Expresa Costa Verde,10,2019-06-07 13:31:00.000,2019-06-07 14:33:00.000,0.0128,0.2676443629697525,POINT (-77.034704 -12.130687),898e62ce5abffff,8a8e62ce5a8ffff,2019-06-07 12:00:00,1
17,530282b0-8b3a-3f4e-9766-8d2344a914d5,-12.111907,-77.052472,13,Vía Expresa Costa Verde,10,2019-01-19 04:48:00.000,2019-01-19 05:13:00.000,0.0119,0.2795600366636113,POINT (-77.05247199999999 -12.111907),898e62ce4b3ffff,8a8e62ce4b1ffff,2019-01-19 12:00:00,1
18,96b48315-9cce-3e09-a007-702f525b4f0f,-12.105103,-77.03279,13,Av. Santa Cruz,10,2019-06-29 00:19:00.000,2019-06-29 01:27:00.000,0.0119,0.2914757103574702,POINT (-77.03279000000001 -12.105103),898e62c0babffff,8a8e62c0ba87fff,2019-06-29 12:00:00,1
19,d1f8d202-9875-3ab1-83e2-745385af0db0,-12.126781,-77.037418,13,Vía Expresa Costa Verde,10,2019-08-15 16:08:00.000,2019-08-15 16:24:00.000,0.0119,0.30339138405132904,POINT (-77.037418 -12.126781),898e62ce517ffff,8a8e62ce5167fff,2019-08-15 12:00:00,1
20,a65c114f-896f-3a2a-a03c-dc9539b8dd83,-12.132774000000001,-77.03095,12,Via Expresa Costa Verde,10,2019-02-09 03:28:00.000,2019-02-09 03:54:00.000,0.011000000000000001,0.3143904674610449,POINT (-77.03095 -12.132774),898e62c52dbffff,8a8e62c52d97fff,2019-02-09 12:00:00,1
