,hex10,date,alerts,interactions
43,8a8e62c52d5ffff,2018-11-07,1,7
44,8a8e62c52d97fff,2019-02-02,1,11
45,8a8e62c52d97fff,2019-02-09,2,35
46,8a8e62c52d97fff,2019-03-01,1,20
47,8a8e62c52da7fff,2019-01-04,1,3
48,8a8e62c52da7fff,2019-05-14,1,1
49,8a8e62c52da7fff,2019-06-03,1,3
50,8a8e62c52db7fff,2019-02-09,1,7
51,8a8e62c5606ffff,2018-11-23,1,6
52,8a8e62c56097fff,2019-04-17,1,5
53,8a8e62c560c7fff,2018-11-27,1,1
54,8a8e62c560c7fff,2019-01-24,1,1
55,8a8e62c560c7fff,2019-03-19,1,5
56,8a8e62c560cffff,2019-03-19,4,11
57,8a8e62c560cffff,2019-07-13,2,11
58,8a8e62c560d7fff,2018-11-13,1,8
59,8a8e62c560d7fff,2018-11-27,2,13
60,8a8e62c560d7fff,2019-01-19,1,14
61,8a8e62c560d7fff,2019-08-21,1,1
62,8a8e62c560dffff,2019-01-22,1,5
63,8a8e62c560dffff,2019-07-13,1,5
64,8a8e62c560e7fff,2019-03-26,1,8
65,8a8e62c560f7fff,2019-05-11,1,7
66,8a8e62c56217fff,2019-05-09,1,5
67,8a8e62c5621ffff,2019-05-09,1,5
68,8a8e62c5621ffff,2019-05-28,1,6
69,8a8e62c56297fff,2019-08-12,1,1
70,8a8e62c5629ffff,2019-05-30,1,1
71,8a8e62c5629ffff,2019-08-12,1,3
72,8a8e62c562a7fff,2019-08-12,1,16
73,8a8e62c562b7fff,2018-10-14,4,11
74,8a8e62c562b7fff,2019-05-09,1,10
75,8a8e62c562b7fff,2019-08-12,3,35
76,8a8e62c5630ffff,2018-10-14,1,1
77,8a8e62c5630ffff,2019-04-10,1,1
78,8a8e62c56317fff,2019-01-12,1,7
79,8a8e62c56347fff,2019-06-13,1,3
80,8a8e62c5634ffff,2019-03-14,1,4
81,8a8e62c5634ffff,2019-07-13,1,2
82,8a8e62c56447fff,2018-10-12,1,6
83,8a8e62c56447fff,2019-02-28,1,6
84,8a8e62c5645ffff,2019-05-28,1,1
85,8a8e62c5648ffff,2018-11-18,1,3
86,8a8e62c5649ffff,2019-01-30,1,2
87,8a8e62c5649ffff,2019-03-25,1,1
88,8a8e62c564cffff,2018-10-25,1,4
89,8a8e62c564dffff,2018-10-25,1,2
90,8a8e62c564dffff,2019-03-13,1,3
91,8a8e62c564f7fff,2019-01-22,1,3
92,8a8e62c56517fff,2018-10-12,1,2
93,8a8e62c5652ffff,2019-08-09,1,2
94,8a8e62c56537fff,2019-05-08,1,9
95,8a8e62c56607fff,2019-04-02,1,1
96,8a8e62c56627fff,2019-04-06,1,5
97,8a8e62c56637fff,2018-10-21,1,3
98,8a8e62c56637fff,2019-02-09,1,2
99,8a8e62c56637fff,2019-06-20,1,3
100,8a8e62c56637fff,2019-08-16,1,4
101,8a8e62c5665ffff,2019-02-10,1,1
102,8a8e62c566d7fff,2019-06-20,1,6
103,8a8e62c566e7fff,2019-02-16,1,15
104,8a8e62c566e7fff,2019-02-20,1,8
105,8a8e62c566f7fff,2019-07-30,1,2
106,8a8e62c5670ffff,2019-02-05,1,5
107,8a8e62c5672ffff,2019-02-19,1,3
108,8a8e62c56747fff,2018-10-27,1,6
109,8a8e62c56757fff,2019-06-01,1,2
110,8a8e62c5676ffff,2019-08-12,2,3
111,8a8e62c56787fff,2018-11-27,1,4
112,8a8e62c567affff,2018-11-17,1,1
113,8a8e62c567affff,2018-11-22,1,4
114,8a8e62c567affff,2018-11-27,1,1
115,8a8e62c567affff,2019-02-09,2,12
116,8a8e62c567affff,2019-03-21,1,4
117,8a8e62c567affff,2019-08-11,1,9
118,8a8e62c567affff,2019-08-16,1,7
119,8a8e62c56a07fff,2019-05-24,1,2
120,8a8e62c56a1ffff,2019-06-25,1,3
121,8a8e62c56a2ffff,2019-03-26,1,2
122,8a8e62c56a8ffff,2019-01-17,1,1
123,8a8e62c56aaffff,2018-11-16,1,2
124,8a8e62c56c8ffff,2019-06-03,1,3
125,8a8e62c56c9ffff,2019-02-19,1,3
126,8a8e62c56c9ffff,2019-04-19,1,4
127,8a8e62c56c9ffff,2019-05-24,1,3
128,8a8e62c56c9ffff,2019-06-05,1,4
129,8a8e62c56cb7fff,2019-06-05,1,1
130,8a8e62c56da7fff,2019-05-20,1,15
131,8a8e62ce485ffff,2018-11-07,1,5
132,8a8e62ce486ffff,2019-01-28,2,8
133,8a8e62ce4a27fff,2019-02-14,1,4
134,8a8e62ce4a4ffff,2018-10-26,1,2
135,8a8e62ce4a57fff,2019-08-05,1,10
136,8a8e62ce4b07fff,2019-01-28,3,24
137,8a8e62ce4b1ffff,2019-01-19,2,24
138,8a8e62ce4b37fff,2019-01-28,2,2
139,8a8e62ce4b57fff,2018-11-18,1,1
140,8a8e62ce4b5ffff,2019-01-30,1,5
141,8a8e62ce4b6ffff,2019-06-13,1,2
142,8a8e62ce4ba7fff,2019-01-24,1,10
143,8a8e62ce4bb7fff,2019-03-09,1,6
144,8a8e62ce5167fff,2019-03-04,1,18
145,8a8e62ce5167fff,2019-05-20,1,6
146,8a8e62ce5167fff,2019-08-15,2,16
147,8a8e62ce516ffff,2018-10-06,1,2
148,8a8e62ce516ffff,2019-05-24,1,2
149,8a8e62ce584ffff,2019-03-06,2,5
150,8a8e62ce5887fff,2019-06-16,1,1
151,8a8e62ce58cffff,2019-01-05,1,2
152,8a8e62ce58d7fff,2019-02-20,1,4
153,8a8e62ce595ffff,2019-03-19,1,4
154,8a8e62ce5a1ffff,2019-05-30,1,2
155,8a8e62ce5a47fff,2019-06-26,1,1
